Title,Rating,Comment,Date Review
"







  
  
    Decepcionado
  
","1,0 de 5 estrelas","









  
  
    
  Bom, em questão de som, ela é realmente boa, no entanto, para a conectividade e resposta ao microfone de captação, ela deixa, e muito, a desejar. Não importa se ela está próxima ao roteador ou longe, se está perto de uma parede ou TV, ela não vai funcionar de maneira adequada. Por muitas vezes ela irá dizer ""estou tendo dificuldades em conectar a rede"" e pedirá pra ser reiniciada e por muitas outras ela irá simplesmente ""ignorar"" qualquer comando. E por conta disso, ela fica praticamente inutilizável, pq isso acaba sendo 90% do tempo. Talvez se houvesse uma atualização ou algo do tipo, mas aparentemente, não há...

  
",Avaliado no Brasil em 9 de junho de 2021
"







  
  
    Reclamação não atendida
  
","1,0 de 5 estrelas","









  
  
    
  O produto não responde corretamente aos comandos, preciso em média chamar 2-3x.Entrei em contato com o chat da Amazon e já passou o prazo de resposta.- O produto esta sim com defeito.- Não é a internet da minha residência, pois tenho 8 aparelhos conectados simultaneamente sem queda de qualidade ou frame.Para comprar, o procedimento foi melhor que a Magalu, para resolver os problemas está pior que a Ponto Frio/ Casas Bahia.

  
",Avaliado no Brasil em 26 de novembro de 2020
"







  
  
    faltou a informação de TEM QUE FICAR CONECTADO DIRETO A TOMADA
  
","1,0 de 5 estrelas","









  
  
    
  Quem compra uma caixa de som, pensa normalmente em leva-la para todo o lugar . Ainda mais a Alexa que é um show. (uma vez esqueci o nome e até chamei de Alzira). Mas ela não tem este recurso ainda. com tanta modernidade, tenho alguns modelos de caixas de som pequenas com bateria e a Alexa ainda não!! que pena. Pra mim o pior foi não ter sido informado na compra, que não tinha este recurso, já procurei em lojas físicas onde me informaram que não há modelo algum da Caixa de som com Alexa a bateria. tudo bem! no mais a caixa é muito boa e som perfeito.

  
",Avaliado no Brasil em 5 de janeiro de 2021
"







  
  
    Ótimo para iniciar a experiência de casa inteligente
  
","3,0 de 5 estrelas","









  
  
    
  A funcionalidade é muito boa. Comprei as lâmpadas, smart plugs e controle remoto inteligentes. Ela realmente é capaz de fazer tarefas básicas muito bem. Ela falha em alguns comandos. Geralmente quando peço para ela apenas responder a alguma frase que eu programo previamente ela não reconhece. Ela também não é capaz de responder a um comando dublo como por exemplo (ligue a luz da sala e desligue a luz da entrada) lhe obrigando a falar alexa duas vezes e isso é chato com o tempo. Sento falta de poder mudar o nome da alexa para outra coisa sem ser os padrões da Amazon. Sei que alguns destes problemas podem ser corrigidos com a criação de rotinas no app mas certamente são coisas que as skills já deveriam ter prontas no app.

  
",Avaliado no Brasil em 16 de junho de 2021
"







  
  
    Entendi alguns cantores errado,graves e agudos bons,
  
","5,0 de 5 estrelas","









  
  
    
  Excelente assistente, som muito bom e limpo, a Alexa ainda tem dificuldade de encontrar alguns artistas e isso é chato, controle do volume por voz é muito top, reconhecimento da voz não encontrei problema algum! Deveria a voz ser mais natural e ter integração com YouTube Músic, fora isso está excelente

  
",Avaliado no Brasil em 10 de dezembro de 2020
"







  
  
    Bom, mas podia ser melhor
  
","3,0 de 5 estrelas","









  
  
    
  Eu gostei muito da qualidade de som, da responsividade (quando você da um comando e ela responde adequadamente) e até mesmo da loja de skills. Porém, não é as mil maravilhas. A echo dot 4 poderia ser muito melhor no reconhecimento de voz, que se estiver distante (poucos centímetros já é suficiente) ou muito barulho, ele se atrapalha em reconhecer o ""Alexa,..."", e melhorar em reconhecimento de sotaque ou do jeito de falar.Poderia também ter algum botão de recalibragem dos microfones ou mesmo um pra reconhecer seu jeito de falar (ou atender somente a você)De resto, um ótimo dispositivo

  
",Avaliado no Brasil em 18 de fevereiro de 2021
"







  
  
    Versatilidade de uso, boa qualidade de áudio, mas peca pela ausência do modo de conversação contínua
  
","4,0 de 5 estrelas","









  
  
    
  Por vezes, a evolução tecnológica e o capitalismo baseado no livre mercado, lucro (por que não ?) e atendimento ao anseio das pessoas criam inovações, comodidades e ""necessidades"" que só nos damos conta quando começamos a utilizar seus produtos. O Echo Dot é um exemplo disso. Quando me perguntam para que serve um Echo Dot sempre digo que faz um pouco de tudo: Despertador, agenda eletrônica, entretenimento, casa inteligente (no meu caso uma lampada RGB no meu quarto já é o suficiente no momento), reprodutor de áudio multimídia, transmissor de áudio bluetooth...Sobre a qualidade de som: Pelo tamanho da caixinha a qualidade é muito boa! Deixo ela num apoio de madeira perto da cama e raramente deixo num volume alto, mas o som não é ""abafado"" ou distorcido como em caixas de baixa qualidade, e me surpreendeu a qualidade dos graves, pelo seu tamanho não desaponta.Único ponto que me fez tirar uma estrela: A necessidade de SEMPRE se usar o comando de ativação (Alexa) no Brasil, sendo que em outros países já está habilitado o modo de conversa ""continuum"", onde podemos usar comandos sucessivos. Espero que esta opção seja logo habilitada aqui, pois ia agregar (e muito) na fluidez com o sistema.

  
",Avaliado no Brasil em 1 de agosto de 2021
"







  
  
    Adorando a experiência
  
","5,0 de 5 estrelas","









  
  
    
  Achei excelente!Escuta bem de uma distância razoável e falar com a Alexa é realmente divertido.Ainda está ""em treinamento"" para entendimento da minha voz, mas é bastante eficiente.Muita coisa funciona via aplicativo, por exemplo, vc precisa primeiro instalar um aplicativo para que ela depois identifique uma lâmpada inteligente e execute os comandos.

  
",Avaliado no Brasil em 8 de abril de 2021
"







  
  
    Alexa depois de 4 meses não funciona mais direito
  
","1,0 de 5 estrelas","









  
  
    
  Alexa depois de 4 meses não funciona mais direito, fica travando muito ao tocar músicas mesmo com a Internet pegando ótima no celular e tvs juntos, alexa demora para responder, mesmo estando do meu lado minha cômoda não me escuta e não realiza o que peço, fui mostrar ela para uns amigos, e passei vergonha, alexa não tocou as músicas, não respondeu as perguntas.

  
",Avaliado no Brasil em 20 de novembro de 2021
"







  
  
    EU GOSTEI
  
","4,0 de 5 estrelas","









  
  
    
  O microfone da ECHO DOT é ótimo, o que eu percebi é que em alguns momentos aleatórios ela não escuta tão bem quanto era para escutar, mas eu acho que isso é por causa do perfil de voz que o usuário grava, ela acha que a voz registrada não é a sua, então ela não ""funciona"". Porém recomendo a compra totalmente.

  
",Avaliado no Brasil em 14 de novembro de 2020
"







  
  
    Acabei ficando com ela.
  
","4,0 de 5 estrelas","









  
  
    
  Comprei para avaliar se ficaria com ela. Não conhecia nada sobre Alexa. Considerando o bom preço que estava quando comprei, decidi por ficar com ela. Tem sido válida a experiência. Ao preço atual não compraria uma. Realmente é meio surda. O som para os diálogos dela é razoável. Tenho usado para escutar as músicas inclusas no Prime, daí conecto num amplificador por Bluetooh. Conecta por comando de voz. Melhora bastante, mas nada comparável a escutar LPs ou CDs. Audio por streaming é assim: pela praticidade de se pedir a musica em viva voz e ela começar em instantes, acaba valendo a pena. Dá para ligar ela por fio no amplificador, mas não melhora nada. O BT dela e do amplificador são bons. Esses dias escutei uma Echo do modelo não ""dot"". O som é melhor mas não justifica o investimento. Ainda acho melhor a ""dot"" com o amplificador. Tenho curiosidade sobre o modelo studio. Quero descobrir se ela pode reproduzir meus MP3... Seria bom se fizesse preservando a qualidade que foram gerados a partir de CDs originais em alta taxa de bits. Funciona bem com automação residencial.

  
",Avaliado no Brasil em 19 de maio de 2021
"







  
  
    Produto muito pior que a geração anterior
  
","1,0 de 5 estrelas","









  
  
    
  O produto não conecta, não aceita comandos e fica desconectando direto. Decepcionado com a qualidade.

  
",Avaliado no Brasil em 9 de novembro de 2020
"







  
  
    Reconhecimento de voz MUITO RUIM, pior do que o reconhecimento na segunda geração
  
","2,0 de 5 estrelas","









  
  
    
  Reconhecimento de voz MUITO RUIM. Estou cogitando devolver e comprar uma da terceira geração. Fiz diversos testes comparando com a minha echo dot de segunda geração e aproximadamente a cada 10 vezes que a echo 2° me escutava, a nova (echo 4°) me escutava apenas 3 vezes. Impressionante como após anos de teste, pesquisa e desenvolvimento, conseguiram piorar um dos aspectos mais importantes do produto. Comprei a nova imaginando que o reconhecimento de vóz seria ainda melhor e fiquei muito decepcionado. A única forma de salvar minha experiência com o produto seria uma atualização de software que corrigisse esse defeito. Resta descobrir se é um problema de hardware ou software.

  
",Avaliado no Brasil em 25 de novembro de 2020
"







  
  
    Sensacional
  
","5,0 de 5 estrelas","









  
  
    
  Comprei para a casa da minha mãe que é uma senhora de idade e após as configurações que fiz pra ela, agora ela se diverte pedindo músicas, notícias, perguntando algo e também acionando luzes e dispositivos (comprados separadamente) por comandos de voz, por meio dos equipamentos de casa inteligente. A maior sacada na verdade, foi configurar a Alexa dela para que ela possa me ligar ou acionar a polícia ou bombeiros por comando de voz, fizemos o teste (apenas para o meu número claro) e funcionou perfeitamente. Eu já tenho uma Alexa e agora a minha mãe hehehe, recomendo muito.

  
",Avaliado no Brasil em 7 de dezembro de 2020
"







  
  
    O som é excelente mais o reconhecimento de voz é péssimo comparado a 3° geração.
  
","4,0 de 5 estrelas","









  
  
    
  A qualidade de som é impecável mas o microfone é péssimo pois quase ela não te escuta e você precisa repetir várias vezes que chega a ser frustrante a ideia de uma assistente pessoal.Comprei antes da Black Friday por 399E agora na BF eu comprei a Echodot 3° por 199 e tô devolvendo essa 4° ruim dimai. Não vale o preço pago (talvez pela qualidade de som, agora o resto é praticamente inferior a 3° geração)

  
",Avaliado no Brasil em 17 de novembro de 2020
"







  
  
    Echo dot 4 geração com relógio é surdo
  
","1,0 de 5 estrelas","









  
  
    
  Alexa é surda!Um inferno comprei dois echo dot com relógio e em ambos tenho que ficar gritando que nem um retardado com esse Echo.Me arrependi da compra não recomendo.

  
",Avaliado no Brasil em 30 de novembro de 2020
"







  
  
    Vale a pena comprar
  
","5,0 de 5 estrelas","









  
  
    
  Do tamanho da minha mão. Apesar de ver alguns reclamando dela não ouvir a uma certa distância, a minha esta reconhecendo a minha voz super bem e a uma distância muito boa. Qualidade de som me deixou impressionada. Depois que vc faz os ajustes necessário, ela é maravilhosa. Eu não me arrependo de jeito nenhum, vale muito a pena. Os ajustes para reconhecimento de voz e aplicativos para ela poder fazer o necessário é super fácil, baixa o aplicativo no celular o aplicativo deixa tudo super tranquilo de entender.

  
",Avaliado no Brasil em 19 de novembro de 2020
