sent_rating,processed_text_KeepStopwords,data
negativo,Bom em questão de som ela é realmente boa no entanto para a conectividade e resposta ao microfone de captação ela deixa e muito a desejar Não importa se ela está próxima ao roteador ou longe se está perto de uma parede ou TV ela não vai funcionar de maneira adequada Por muitas vezes ela irá dizer estou tendo dificuldades em conectar a rede e pedirá pra ser reiniciada e por muitas outras ela irá simplesmente ignorar qualquer comando E por conta disso ela fica praticamente inutilizável pq isso acaba sendo 90 do tempo Talvez se houvesse uma atualização ou algo do tipo mas aparentemente não há,2021-06-09 00:00:00
negativo,O produto não responde corretamente aos comandos preciso em média chamar 2-3x Entrei em contato com o chat da Amazon e já passou o prazo de resposta.- O produto esta sim com defeito.- Não é a internet da minha residência pois tenho 8 aparelhos conectados simultaneamente sem queda de qualidade ou frame Para comprar o procedimento foi melhor que a Magalu para resolver os problemas está pior que a Ponto Frio/ Casas Bahia,2020-11-26 00:00:00
negativo,Quem compra uma caixa de som pensa normalmente em leva-la para todo o lugar Ainda mais a Alexa que é um show uma vez esqueci o nome e até chamei de Alzira Mas ela não tem este recurso ainda com tanta modernidade tenho alguns modelos de caixas de som pequenas com bateria e a Alexa ainda não que pena Pra mim o pior foi não ter sido informado na compra que não tinha este recurso já procurei em lojas físicas onde me informaram que não há modelo algum da Caixa de som com Alexa a bateria tudo bem no mais a caixa é muito boa e som perfeito,2021-01-05 00:00:00
negativo,A funcionalidade é muito boa Comprei as lâmpadas smart plugs e controle remoto inteligentes Ela realmente é capaz de fazer tarefas básicas muito bem Ela falha em alguns comandos Geralmente quando peço para ela apenas responder a alguma frase que eu programo previamente ela não reconhece Ela também não é capaz de responder a um comando dublo como por exemplo ligue a luz da sala e desligue a luz da entrada lhe obrigando a falar alexa duas vezes e isso é chato com o tempo Sento falta de poder mudar o nome da alexa para outra coisa sem ser os padrões da Amazon Sei que alguns destes problemas podem ser corrigidos com a criação de rotinas no app mas certamente são coisas que as skills já deveriam ter prontas no app,2021-06-16 00:00:00
positivo,Excelente assistente som muito bom e limpo a Alexa ainda tem dificuldade de encontrar alguns artistas e isso é chato controle do volume por voz é muito top reconhecimento da voz não encontrei problema algum Deveria a voz ser mais natural e ter integração com YouTube Músic fora isso está excelente,2020-12-10 00:00:00
negativo,Eu gostei muito da qualidade de som da responsividade quando você da um comando e ela responde adequadamente e até mesmo da loja de skills Porém não é as mil maravilhas A echo dot 4 poderia ser muito melhor no reconhecimento de voz que se estiver distante poucos centímetros já é suficiente ou muito barulho ele se atrapalha em reconhecer o Alexa e melhorar em reconhecimento de sotaque ou do jeito de falar Poderia também ter algum botão de recalibragem dos microfones ou mesmo um pra reconhecer seu jeito de falar ou atender somente a você)De resto um ótimo dispositivo,2021-02-18 00:00:00
positivo,Por vezes a evolução tecnológica e o capitalismo baseado no livre mercado lucro por que não e atendimento ao anseio das pessoas criam inovações comodidades e necessidades que só nos damos conta quando começamos a utilizar seus produtos O Echo Dot é um exemplo disso Quando me perguntam para que serve um Echo Dot sempre digo que faz um pouco de tudo Despertador agenda eletrônica entretenimento casa inteligente no meu caso uma lampada RGB no meu quarto já é o suficiente no momento reprodutor de áudio multimídia transmissor de áudio bluetooth Sobre a qualidade de som Pelo tamanho da caixinha a qualidade é muito boa Deixo ela num apoio de madeira perto da cama e raramente deixo num volume alto mas o som não é abafado ou distorcido como em caixas de baixa qualidade e me surpreendeu a qualidade dos graves pelo seu tamanho não desaponta Único ponto que me fez tirar uma estrela A necessidade de SEMPRE se usar o comando de ativação Alexa no Brasil sendo que em outros países já está habilitado o modo de conversa continuum onde podemos usar comandos sucessivos Espero que esta opção seja logo habilitada aqui pois ia agregar e muito na fluidez com o sistema,2021-08-01 00:00:00
positivo,Achei excelente!Escuta bem de uma distância razoável e falar com a Alexa é realmente divertido Ainda está em treinamento para entendimento da minha voz mas é bastante eficiente Muita coisa funciona via aplicativo por exemplo vc precisa primeiro instalar um aplicativo para que ela depois identifique uma lâmpada inteligente e execute os comandos,2021-04-08 00:00:00
negativo,Alexa depois de 4 meses não funciona mais direito fica travando muito ao tocar músicas mesmo com a Internet pegando ótima no celular e tvs juntos alexa demora para responder mesmo estando do meu lado minha cômoda não me escuta e não realiza o que peço fui mostrar ela para uns amigos e passei vergonha alexa não tocou as músicas não respondeu as perguntas,2021-11-20 00:00:00
positivo,O microfone da ECHO DOT é ótimo o que eu percebi é que em alguns momentos aleatórios ela não escuta tão bem quanto era para escutar mas eu acho que isso é por causa do perfil de voz que o usuário grava ela acha que a voz registrada não é a sua então ela não funciona Porém recomendo a compra totalmente,2020-11-14 00:00:00
