sent_rating,processed_text_NoStopwords,data
negativo,som realmente entanto conectividade resposta microfone captação deixa desejar importa roteador parede TV funcionar maneira adequada muitas tendo dificuldades conectar rede pedirá pra reiniciada muitas simplesmente ignorar comando conta fica praticamente inutilizável pq acaba sendo 90 houvesse atualização aparentemente há,2021-06-09 00:00:00
negativo,produto responde corretamente comandos preciso média chamar 2-3x Entrei contato chat Amazon passou prazo resposta.- produto defeito.- internet residência 8 aparelhos conectados simultaneamente queda qualidade frame comprar procedimento melhor Magalu resolver problemas pior Frio/ Casas Bahia,2020-11-26 00:00:00
negativo,compra caixa som pensa normalmente leva-la Alexa show esqueci nome chamei Alzira recurso modernidade modelos caixas som pequenas bateria Alexa pena Pra mim pior sido informado compra tinha recurso procurei lojas físicas informaram há modelo algum Caixa som Alexa bateria caixa som perfeito,2021-01-05 00:00:00
negativo,funcionalidade Comprei lâmpadas smart plugs controle remoto inteligentes realmente capaz tarefas básicas falha comandos Geralmente peço responder alguma frase programo previamente reconhece capaz responder comando dublo ligue luz sala desligue luz entrada obrigando falar alexa chato Sento mudar nome alexa padrões Amazon destes problemas corrigidos criação rotinas app coisas skills deveriam prontas app,2021-06-16 00:00:00
positivo,Excelente assistente som limpo Alexa dificuldade encontrar artistas chato controle volume voz top reconhecimento voz encontrei problema algum Deveria voz natural integração YouTube Músic excelente,2020-12-10 00:00:00
negativo,gostei qualidade som responsividade comando responde adequadamente loja skills maravilhas echo dot 4 poderia melhor reconhecimento voz estiver distante poucos centímetros suficiente barulho atrapalha reconhecer Alexa melhorar reconhecimento sotaque jeito falar Poderia algum botão recalibragem microfones pra reconhecer jeito falar atender você)De resto ótimo dispositivo,2021-02-18 00:00:00
positivo,evolução tecnológica capitalismo baseado livre mercado lucro atendimento anseio pessoas criam inovações comodidades necessidades damos conta começamos utilizar produtos Echo Dot perguntam serve Echo Dot digo Despertador agenda eletrônica entretenimento casa inteligente caso lampada RGB suficiente reprodutor áudio multimídia transmissor áudio bluetooth qualidade som tamanho caixinha qualidade Deixo madeira cama raramente deixo volume alto som abafado distorcido caixas baixa qualidade surpreendeu qualidade graves tamanho desaponta Único tirar estrela necessidade comando ativação Alexa Brasil sendo países habilitado modo conversa continuum podemos comandos sucessivos Espero opção seja habilitada ia agregar fluidez,2021-08-01 00:00:00
positivo,Achei excelente!Escuta distância razoável falar Alexa realmente divertido treinamento entendimento voz eficiente Muita funciona via aplicativo vc precisa instalar aplicativo identifique lâmpada inteligente execute comandos,2021-04-08 00:00:00
negativo,Alexa 4 funciona direito fica travando tocar músicas Internet pegando ótima celular tvs juntos alexa demora responder estando cômoda escuta realiza peço mostrar amigos passei vergonha alexa tocou músicas respondeu perguntas,2021-11-20 00:00:00
positivo,microfone ECHO DOT ótimo percebi momentos aleatórios escuta escutar acho causa perfil voz usuário grava acha voz registrada funciona recomendo compra totalmente,2020-11-14 00:00:00
